year,-52,-45,-44,-42,-40,-39,-37,-36,-34,-32,-31,-29,-28,-26,-24,-23,-21,-20,-18,-16,-15,-13,-12,-10,-8,-7,-5,-4,-2,0,2,4,5,7,8,10,12,13,15,16,18,20,21,23,24,26,28,29,31,32,34,36,37,39,40,42,44,45,47,49,50,52,53,55,57,58,60,61,63,65,68,69
1900,5.1,8.73,9.54,12.24,9.75,12.31,13.61,13.21,15.38,15.38,18.34,17.73,18.6,17.25,19.72,20.69,21.41,21.14,20.27,20.89,20.98,19.11,20.64,23.45,24.26,25.32,25.82,24.34,23.11,24.07,25.49,24.45,25.05,25.75,26.13,26.4,26.37,26.69,25.4,26.65,25.37,21.75,24.54,24.34,22.77,22.76,21.72,19.9,19.06,17.28,14.97,13.24,13.23,11.23,10.98,9.11,8.72,7.67,6.87,7.84,7.68,7.76,5.57,3.35,2.68,2.21,2.14,-1.01,0.78,0.12,-2.84,-11.62
1910,5.56,9.14,10.3,12.36,9.71,11.8,13.53,12.93,14.76,14.61,17.36,16.68,17.74,16.33,18.89,20.19,21.07,20.85,19.58,20.44,20.46,18.43,20.17,22.92,23.85,25.06,25.47,23.75,22.43,23.56,25.04,23.86,24.6,25.5,25.77,26.0,25.92,26.24,25.0,25.99,24.66,21.03,24.0,23.86,22.39,22.3,21.24,19.44,18.57,17.01,14.73,13.01,12.85,10.81,10.45,8.7,8.35,7.23,6.63,7.74,7.74,7.85,6.0,4.28,3.53,3.51,3.5,-0.65,2.11,1.35,-1.37,-13.0
1920,5.96,9.03,9.85,12.56,9.75,12.38,13.6,12.99,15.24,15.14,17.98,17.35,18.29,17.16,19.26,20.58,21.14,20.93,19.97,20.42,20.53,18.85,20.48,23.1,24.0,25.1,25.51,24.03,22.81,23.81,25.33,24.27,25.02,25.76,25.94,26.13,26.18,26.56,25.37,26.47,25.26,21.74,24.48,24.2,22.64,22.56,21.43,19.66,18.84,16.9,14.94,13.3,12.78,10.74,10.57,8.74,8.44,7.44,6.62,7.75,7.74,7.94,5.99,4.21,3.66,3.75,3.72,0.03,2.89,2.45,0.32,-11.73
1930,5.54,8.7,9.34,12.48,9.84,12.66,13.7,13.43,15.48,15.42,18.2,17.56,18.42,16.93,19.61,21.0,21.64,21.3,19.91,20.69,20.71,18.82,20.48,23.24,24.13,25.36,25.77,24.17,23.01,24.08,25.68,24.55,25.27,26.02,26.25,26.33,26.38,26.64,25.41,26.31,25.21,21.68,24.4,24.16,22.72,22.63,21.54,19.81,19.02,17.3,15.34,13.69,13.44,11.26,11.09,9.34,8.95,7.85,7.07,8.11,8.03,8.07,6.05,4.17,3.44,3.4,3.9,-0.41,2.07,1.66,-1.0,-12.15
1940,5.97,9.3,9.99,12.6,10.05,12.58,13.72,13.31,15.57,15.23,18.01,17.68,18.63,17.42,19.74,21.26,21.86,21.56,20.35,21.03,21.03,19.07,20.65,23.43,24.22,25.45,25.95,24.33,23.27,24.24,25.85,24.8,25.42,26.15,26.5,26.75,26.59,26.77,25.44,26.33,25.31,21.8,24.55,24.32,22.76,22.69,21.67,20.06,19.34,17.55,15.38,13.75,13.52,11.2,10.74,8.59,8.11,6.66,5.93,6.7,6.45,6.76,5.14,3.14,2.49,1.91,1.69,-1.03,0.71,0.45,-2.03,-12.31
1950,5.73,9.17,10.23,12.49,10.13,12.49,13.89,13.45,15.4,15.28,18.2,17.54,18.56,17.4,19.61,20.86,21.48,21.22,20.01,20.52,20.64,18.62,20.23,23.04,24.0,25.34,25.73,24.07,22.85,23.95,25.51,24.39,25.08,25.8,26.04,26.17,26.22,26.54,25.38,26.27,25.11,21.76,24.47,24.28,22.76,22.73,21.47,19.77,18.98,17.3,15.44,13.8,13.35,11.08,10.98,9.23,8.99,7.87,7.05,7.97,7.75,7.9,5.85,3.88,3.24,3.07,3.22,-0.14,2.29,1.86,-0.29,-11.81
1960,6.39,9.71,10.23,12.87,10.44,12.88,13.91,13.42,15.48,15.52,18.18,17.52,18.4,17.17,19.38,20.69,21.32,21.18,20.09,20.68,20.92,19.09,20.78,23.51,24.43,25.67,26.12,24.34,23.07,24.26,25.78,24.66,25.31,25.95,26.31,26.67,26.55,26.92,25.74,26.74,25.56,22.03,24.8,24.66,23.19,23.02,21.91,20.2,19.5,17.66,15.74,14.05,13.71,11.28,11.08,9.18,8.81,7.7,6.98,8.06,7.81,8.03,5.99,3.97,3.13,2.94,2.68,-1.09,1.35,1.49,-0.8,-13.09
1970,6.12,9.76,10.87,12.74,10.49,12.69,13.99,13.42,15.29,15.44,18.47,17.83,18.85,17.82,19.89,21.07,21.77,21.57,20.62,21.15,21.2,19.26,20.78,23.58,24.44,25.59,26.06,24.51,23.27,24.28,25.83,24.76,25.41,26.16,26.44,26.68,26.55,26.85,25.73,26.46,25.3,21.73,24.48,24.36,22.87,22.71,21.72,20.06,19.3,17.5,15.26,13.6,13.56,11.24,11.05,9.15,8.76,7.49,6.84,7.68,7.4,7.62,5.75,3.9,3.21,2.82,2.27,-0.72,1.8,1.23,-1.14,-12.75
1980,6.14,9.58,10.36,13.18,10.39,13.04,14.39,13.71,15.97,15.81,18.62,17.87,18.82,17.27,19.71,21.23,21.9,21.64,20.37,21.06,21.12,19.25,20.82,23.52,24.5,25.78,26.18,24.65,23.53,24.5,25.97,24.97,25.51,26.22,26.61,26.88,26.83,27.2,25.99,26.99,25.77,22.15,25.01,24.76,23.23,23.15,22.12,20.3,19.36,17.59,15.24,13.53,13.42,11.31,10.84,8.83,8.39,7.05,6.25,7.16,7.14,7.49,5.66,3.58,3.08,2.68,2.55,-0.45,1.51,0.72,-2.27,-11.59
1990,6.55,10.06,10.98,13.18,10.63,12.72,14.42,13.83,15.62,15.54,18.29,17.64,18.75,17.6,19.76,21.32,22.01,22.0,20.82,21.3,21.46,19.57,21.16,23.89,24.79,26.0,26.35,24.67,23.51,24.49,26.05,24.99,25.63,26.36,26.72,26.96,26.91,27.16,25.81,26.59,25.5,21.97,24.84,24.6,23.19,23.23,22.23,20.66,19.87,18.14,16.22,14.67,14.01,12.01,11.95,10.29,9.9,8.83,8.23,9.09,9.01,9.25,7.44,5.65,4.86,4.67,4.5,0.3,3.0,2.0,-0.34,-11.59
2000,5.92,9.41,10.78,12.94,10.24,12.57,14.44,13.78,15.86,15.5,18.31,17.71,18.62,17.3,19.8,21.29,22.06,21.71,20.43,21.12,21.33,19.38,21.09,23.73,24.7,26.03,26.44,24.71,23.45,24.5,26.01,24.83,25.5,26.22,26.56,26.74,26.78,27.08,25.86,26.73,25.56,22.0,24.94,24.71,23.3,23.24,22.31,20.67,19.96,18.25,16.08,14.47,14.07,11.92,11.63,9.88,9.7,8.59,8.0,9.13,9.18,9.17,7.3,5.54,4.79,4.66,4.7,1.09,3.18,2.76,0.41,-12.29
2010,6.41,9.85,11.12,13.27,10.48,12.6,14.49,13.83,16.05,15.72,18.62,18.15,19.09,18.07,20.05,21.7,22.42,22.17,21.05,21.74,21.87,19.93,21.44,24.29,25.11,26.24,26.69,25.15,24.02,24.97,26.52,25.49,26.19,26.92,27.2,27.47,27.38,27.61,26.35,27.3,26.0,22.16,25.28,25.2,23.74,23.68,22.66,21.05,20.37,18.43,16.21,14.83,14.62,12.23,11.92,10.21,9.65,8.26,7.6,8.27,7.81,7.75,6.33,4.93,3.91,3.35,2.48,-0.46,1.55,1.52,-1.14,-11.61
